时间戳,真实位置X(m),真实位置Y(m),真实位置Z(m),EKF估计位置X(m),EKF估计位置Y(m),EKF估计位置Z(m),真实速度X(m/s),真实速度Y(m/s),真实速度Z(m/s),EKF估计速度X(m/s),EKF估计速度Y(m/s),EKF估计速度Z(m/s)
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.079939694518381188e+01,3.691671565075860251e+00,-1.170000000000000033e-02,-1.000000000000000021e-02,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.224346710411449557e+01,1.453591565862219159e+00,-1.070002227664417806e-02,-0.000000000000000000e+00,-1.000000000000000021e-02,0.000000000000000000e+00,-5.055216630951420154e-02,2.417888330969463276e-02,1.683247765117845685e-02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.221744170741267332e+01,1.445812109715659766e+00,-9.982584113735475384e-01,1.000000000000000021e-02,-1.000000000000000021e-02,0.000000000000000000e+00,-2.053959996078243144e-02,-1.110797709417826913e-02,-2.783813900233258032e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.293043329843900580e+01,2.806503192828398774e+00,-1.376985908753597165e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-8.657798576926931666e-01,-5.743392119508387017e-01,-2.136317391290082135e+00
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.137178338995295057e+01,5.516449475132210623e+00,-1.511225745219610062e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.253372665261396679e-01,-3.609009409285132142e-01,-1.718829268653387032e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.345725353914486710e+01,4.535047815376792357e+00,-1.468001292631266885e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,4.103119380796540483e+00,1.686638352484962411e+00,-3.593944131917822471e+00
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.525268352636244451e+01,6.909106496279606269e+00,-1.512125811981123391e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.338470937690094842e-01,3.873847961195404199e+00,-2.046526096025481412e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.789429955661356786e+01,6.363771131380473456e+00,-1.215790091476435464e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.859199593090932190e-01,2.855809931808433788e+00,-2.883319873545470813e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.637845351665022875e+01,6.255983033982349895e+00,-1.905672055609151982e+00,-0.000000000000000000e+00,-1.000000000000000021e-02,-0.000000000000000000e+00,-3.685963024075738836e+00,5.115014407119390150e+00,-7.220188691691686422e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.237462465247077503e+01,9.551459571792637604e+00,-2.566016566925618747e+00,1.000000000000000021e-02,-0.000000000000000000e+00,0.000000000000000000e+00,-4.286776070491880475e+00,5.627194104952409681e+00,-1.049607476358286462e+01
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.093726827490788978e+00,7.449136968759497712e+00,-3.680377140199222907e+00,1.000000000000000021e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.652888981793973588e+00,3.228794869548692326e+00,-7.303645586266886980e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.449801317146406809e+00,1.042609633890555010e+01,-2.548450617693569953e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-4.267516162336757013e+00,5.502969957653479405e+00,-6.525486609441753849e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.412876212991837299e+00,1.442623281155340642e+01,-2.444574501016292700e+00,0.000000000000000000e+00,1.000000000000000021e-02,-0.000000000000000000e+00,-6.627136362664371561e+00,4.985764396350154115e+00,-6.752586888100162277e+00
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.896942061457157713e+00,1.421526206579791207e+01,-2.854391824984542581e+00,-1.000000000000000021e-02,1.000000000000000021e-02,0.000000000000000000e+00,-5.402445003602863061e+00,4.866279704973684339e+00,-8.997179797936222911e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.510053398597044350e+00,1.403171699872838296e+01,-2.732988310254997444e+00,0.000000000000000000e+00,1.000000000000000021e-02,-0.000000000000000000e+00,-5.641525140630298196e+00,6.220538606965943629e+00,-7.915353516005504630e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.801351662563609235e+00,1.261075354220827016e+01,-2.167452706546809438e+00,-0.000000000000000000e+00,1.000000000000000021e-02,-0.000000000000000000e+00,-5.246750179531551872e+00,4.691561359410282073e+00,-7.616371624763789150e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.297181674332752999e-01,1.210632938742889309e+01,-2.113006555067089565e+00,1.000000000000000021e-02,-1.000000000000000021e-02,0.000000000000000000e+00,-3.287838319553845423e+00,3.414562011226589977e+00,-9.126639594954548684e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.181140093686297243e-01,1.245171575014691534e+01,-2.395912212138552988e+00,-0.000000000000000000e+00,-1.000000000000000021e-02,-0.000000000000000000e+00,-1.663678665150877256e+00,1.661643567495383111e+00,-1.031550250307161853e+01
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542343420696875800e+00,1.288348729619344546e+01,-2.499835421696417370e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.326686426389047102e-01,8.658549995230168106e-01,-8.997780583091955720e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.226210000920430865e+00,1.356213536398651343e+01,-2.254952553713630792e+00,-0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,-2.862522145986593269e+00,5.518378954399288938e-01,-9.394307924461971382e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.190196977851835092e+00,1.066684217049163941e+01,-2.544302417645770475e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-3.658988117944546481e+00,1.002586041754427448e+00,-8.847303316062024692e+00
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.876827881628477135e-01,9.294947157243338864e+00,-2.479434610642108794e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-3.763119981068552278e+00,2.446042119141127902e+00,-7.115040945659885097e+00
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.025004945653124722e+00,1.009537184891371986e+01,-2.267500183075886966e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.725084949839292392e+00,3.218821258689845255e+00,-7.178538192463024714e+00
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.507867960834551546e+00,1.077704471182071977e+01,-2.234159675887724461e+00,0.000000000000000000e+00,-1.000000000000000021e-02,-0.000000000000000000e+00,-2.445792192780495977e+00,3.252579838070967622e+00,-8.388331470393417533e+00
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.820473762391301431e+00,1.061424587237376826e+01,-2.485012205158930954e+00,1.000000000000000021e-02,-1.000000000000000021e-02,0.000000000000000000e+00,-1.298743202721278633e+00,3.536190656918491104e+00,-1.016018922084839282e+01
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.402767320149356622e-02,1.045993367661340478e+01,-3.001379294151112376e+00,1.000000000000000021e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,-3.929561959402406157e-01,3.362255066461470321e+00,-1.101140971648726463e+01
