Timestamp,True Position X(m),True Position Y(m),True Position Z(m),EKF Estimated Position X(m),EKF Estimated Position Y(m),EKF Estimated Position Z(m),True Velocity X(m/s),True Velocity Y(m/s),True Velocity Z(m/s),EKF Estimated Velocity X(m/s),EKF Estimated Velocity Y(m/s),EKF Estimated Velocity Z(m/s)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01
1.000000000000000056e-01,-6.429395695523603968e-18,-3.499999999999999639e-02,-8.430818085443103627e-03,1.741308378068667090e-03,-1.481065960489756986e-02,2.769837826609967274e-02,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,1.736641545597529188e-02,-1.479918235359557743e-01,1.561672205300805930e-02
2.000000000000000111e-01,-1.285879139104720794e-17,-6.999999999999999278e-02,-1.687131069919538609e-02,9.816319009842667479e-04,-3.516056892345899992e-02,1.616882405218862673e-02,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,4.604695901936455872e-03,-1.762956515170424621e-01,-5.127053216333441465e-01
3.000000000000000444e-01,-1.928818708657081344e-17,-1.049999999999999822e-01,-2.533109272288189620e-02,4.527886276743578638e-03,-4.992789963097316736e-02,-2.420615568923211586e-02,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,1.556564344355279225e-02,-1.661611885069701477e-01,-9.685301009490836499e-01
4.000000000000000222e-01,-2.571758278209441587e-17,-1.399999999999999856e-01,-3.381966011250105847e-02,6.019577178026777262e-03,-7.408924776683925573e-02,-6.038206242625918097e-02,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,1.547749019321164286e-02,-1.883933126074529285e-01,-1.411742172366534209e+00
5.000000000000000000e-01,-3.214697847761801830e-17,-1.749999999999999889e-01,-4.234633135269821186e-02,9.901222340260527541e-03,-9.490268809897631219e-02,-1.075805041510438376e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,2.215213502679571483e-02,-1.944791155083803735e-01,-1.780866834040337299e+00
6.000000000000000888e-01,-3.857637417314162073e-17,-2.099999999999999922e-01,-5.092019000520907335e-02,1.308620197454128838e-02,-1.156732916955850593e-01,-1.488857864095827210e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,2.596118024498339852e-02,-1.976617759011719266e-01,-2.032713280302687942e+00
7.000000000000000666e-01,-4.500576986866522315e-17,-2.449999999999999956e-01,-5.955002870568103235e-02,1.423172130651337471e-02,-1.377260613460589422e-01,-1.920123626591238863e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,2.066715301852688202e-02,-1.993008395403423338e-01,-2.233477576086707383e+00
8.000000000000000444e-01,-5.143516556418882558e-17,-2.799999999999999711e-01,-6.824429495415054725e-02,1.626550175996201511e-02,-1.615933565560262741e-01,-2.128662866052862257e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,1.511065499157424746e-02,-1.925550136622813657e-01,-2.320115439808105862e+00
9.000000000000000222e-01,-5.786456125971242801e-17,-3.149999999999999467e-01,-7.701103903339634460e-02,2.125463972088826453e-02,-1.837456104844931992e-01,-2.407001595686237838e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,2.794187195634874332e-02,-1.290383373869409545e-01,-2.352775968603521672e+00
1.000000000000000000e+00,-6.429395695523603660e-17,-3.499999999999999223e-01,-8.585786437626907741e-02,-1.786899720203017683e+00,-2.119033600070168610e+00,-2.469447698959367499e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,1.964371262025390501e-05,-2.651659943075426740e-02,-2.312104180695992106e+00
1.100000000000000089e+00,-7.072335265075964519e-17,-3.849999999999998979e-01,-9.479188068799941636e-02,-1.788978560008056773e+00,-2.110045353674926627e+00,-2.473255440212360212e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,-2.525329823378240357e-02,1.075979105777503525e-01,-2.232639047598006243e+00
1.200000000000000178e+00,-7.715274834628325378e-17,-4.199999999999998734e-01,-1.038196601125010998e-01,-1.790831881976780560e+00,-2.088707648378962833e+00,-2.447519762601225446e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,-2.783339739846995425e-02,2.524922413429052104e-01,-2.137920694715699454e+00
1.300000000000000044e+00,-8.358214404180686237e-17,-4.549999999999998490e-01,-1.129471967129182242e-01,-1.793223465121715599e+00,-2.063449862810936342e+00,-2.547877653430414835e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,-4.368226716189756859e-02,3.844870146530123267e-01,-2.032217249898444322e+00
1.400000000000000133e+00,-9.001153973733047096e-17,-4.899999999999998246e-01,-1.221798695162327197e-01,-1.800015564386039379e+00,-2.037291525252133972e+00,-2.597260680816055323e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,-8.483363945875461998e-02,5.148059707296962495e-01,-1.954044825183198331e+00
1.500000000000000000e+00,-9.644093543285407955e-17,-5.249999999999998002e-01,-1.315224093497743274e-01,-1.799481332530073585e+00,-2.009150405242824178e+00,-2.620807381648910805e-01,7.071067811865469621e-02,-2.792893218813451983e-01,-1.000000000000000056e-01,-7.610622983791577589e-02,6.600830934619812407e-01,-1.864653295173448910e+00
