时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),ESKF估计位置X(m),ESKF估计位置Y(m),ESKF估计位置Z(m)
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.109467679369787338e-03,2.417597976111977333e-03,-1.069971400947393632e-02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.112945354785670256e-03,1.115062061813179789e-03,-3.160786158828195885e-02
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.107683423608204973e-03,2.078633481010933644e-03,-6.071179958125320908e-02
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.006068246890388061e-02,5.753602909403105793e-03,-9.565847667236233864e-02
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.335828232183333311e-03,7.141950809660810827e-03,-1.308798880862770408e-01
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.201858958285724449e-03,8.359006637628566688e-03,-1.636185413713494297e-01
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.612676922374046598e-03,5.349530838228398928e-03,-1.903080885949834100e-01
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.814755372078450155e-03,5.469780568520830714e-03,-2.101518070777167180e-01
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.499750802600089160e-03,6.506335531796597453e-03,-2.210471524367889629e-01
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378853372812399236e+01,2.769931060411599866e+00,-2.228818040638612663e-01
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378865956900364687e+01,2.770358945365030579e+00,-2.228047875244517639e-01
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378975068986092900e+01,2.771206652136843029e+00,-2.179625846344637741e-01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379156216848890182e+01,2.771135744387095201e+00,-2.089173497894723230e-01
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379528415676536035e+01,2.768468108967829799e+00,-1.986630893810066578e-01
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379370249037842555e+01,2.772679035971226558e+00,-1.879283349236419431e-01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379140830798777095e+01,2.775649205960119215e+00,-1.778209189001960511e-01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378956434615618853e+01,2.775521803329587200e+00,-1.664822917486564191e-01
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379128228551450874e+01,2.771842316678696960e+00,-1.563456352114530046e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379445688106797796e+01,2.773216201794811209e+00,-1.470925120786920060e-01
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.324839976806047659e+01,2.382105280585399054e+00,-1.359232643527047979e-01
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.325470564632693105e+01,2.380170644739817654e+00,-1.294537085446130220e-01
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.326091551731336082e+01,2.377965711885435152e+00,-1.215571500450188108e-01
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.326287639603506996e+01,2.380263528202340773e+00,-1.153009707149340313e-01
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.326730684539574590e+01,2.376861588154480565e+00,-1.096506501923824040e-01
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.327300071685522909e+01,2.375565618432482484e+00,-1.041513302235407834e-01
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.327795408622083251e+01,2.375781898596431851e+00,-9.942776732080679802e-02
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.328684630068188888e+01,2.370918212769796085e+00,-9.559783858901613196e-02
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.329512309755931021e+01,2.372036030573351439e+00,-9.158462569722289337e-02
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.330377595538789137e+01,2.374708709013954699e+00,-8.895766407278289656e-02
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.333420738592980825e+01,2.321600523235017199e+00,-8.561148439499782770e-02
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.335978517128096676e+01,2.327139330366875480e+00,-8.378284899652316264e-02
3.300000000000000000e+01,-9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.338625168100718987e+01,2.331242511332501710e+00,-8.226813695663043324e-02
3.400000000000000000e+01,-9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.341225705817672953e+01,2.336034217238967869e+00,-8.105347766106650587e-02
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.343691485295247645e+01,2.339715808852627088e+00,-8.112417808145286346e-02
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346175937841693582e+01,2.344394626410218230e+00,-8.365366423804283802e-02
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.348904185696540559e+01,2.347752602998482541e+00,-8.729427681233105363e-02
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.351967544989975778e+01,2.348997803845080057e+00,-9.194502965704375030e-02
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355171059454621840e+01,2.349709523609689210e+00,-9.990062419488898726e-02
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.358351451114063124e+01,2.354015176363930539e+00,-1.090135436369478739e-01
4.100000000000000000e+01,-9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.344627553645918816e+01,2.321275304106882764e+00,-1.188948436203053211e-01
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.352628713626502410e+01,2.327275462253751925e+00,-1.335224272029250647e-01
4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.360358160966375429e+01,2.332523514050838020e+00,-1.486393768222564193e-01
4.400000000000000000e+01,-9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.368164556160978407e+01,2.339844970663425006e+00,-1.655240288751255451e-01
