Time(s),True Position X(m),True Position Y(m),True Position Z(m),ESKF Estimated Position X(m),ESKF Estimated Position Y(m),ESKF Estimated Position Z(m)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-6.429395695523603968e-18,-3.499999999999999639e-02,-8.430818085443103627e-03,1.357935889337867109e-02,-2.442561024098104105e-02,3.194406540587538257e-02
2.000000000000000111e-01,-1.285879139104720794e-17,-6.999999999999999278e-02,-1.687131069919538609e-02,1.856926307081784716e-02,-4.491569876024732039e-02,4.781297099852727106e-03
3.000000000000000444e-01,-1.928818708657081344e-17,-1.049999999999999822e-01,-2.533109272288189620e-02,2.791188326263280284e-02,-6.030248206584599285e-02,-3.149075277893235297e-02
4.000000000000000222e-01,-2.571758278209441587e-17,-1.399999999999999856e-01,-3.381966011250105847e-02,3.447416207438957353e-02,-7.791663811321566935e-02,-7.421150913828114537e-02
5.000000000000000000e-01,-3.214697847761801830e-17,-1.749999999999999889e-01,-4.234633135269821186e-02,4.794328158003987456e-02,-8.849349659346351926e-02,-1.184076398829429222e-01
6.000000000000000888e-01,-3.857637417314162073e-17,-2.099999999999999922e-01,-5.092019000520907335e-02,5.684645451690806262e-02,-1.066187803566904513e-01,-1.613889256015982876e-01
7.000000000000000666e-01,-4.500576986866522315e-17,-2.449999999999999956e-01,-5.955002870568103235e-02,5.827537020905321913e-02,-1.243992775876141266e-01,-1.975780046273148682e-01
8.000000000000000444e-01,-5.143516556418882558e-17,-2.799999999999999711e-01,-6.824429495415054725e-02,5.877084921850899563e-02,-1.454870473711599166e-01,-2.255341165966329164e-01
9.000000000000000222e-01,-5.786456125971242801e-17,-3.149999999999999467e-01,-7.701103903339634460e-02,6.516140527284947082e-02,-1.671953136597748302e-01,-2.457168366056607933e-01
1.000000000000000000e+00,-6.429395695523603660e-17,-3.499999999999999223e-01,-8.585786437626907741e-02,1.229662610733535777e+00,8.974073997187249629e-01,-2.565245164472702566e-01
1.100000000000000089e+00,-7.072335265075964519e-17,-3.849999999999998979e-01,-9.479188068799941636e-02,1.231311412771761038e+00,8.849628608569035659e-01,-2.680985358201425361e-01
1.200000000000000178e+00,-7.715274834628325378e-17,-4.199999999999998734e-01,-1.038196601125010998e-01,1.230046093460026579e+00,8.695975100580226602e-01,-2.708620433532342164e-01
1.300000000000000044e+00,-8.358214404180686237e-17,-4.549999999999998490e-01,-1.129471967129182242e-01,1.233881554902377387e+00,8.573624008962882348e-01,-2.702022251679494502e-01
1.400000000000000133e+00,-9.001153973733047096e-17,-4.899999999999998246e-01,-1.221798695162327197e-01,1.235790706287262619e+00,8.380973262274213909e-01,-2.688327298170696822e-01
1.500000000000000000e+00,-9.644093543285407955e-17,-5.249999999999998002e-01,-1.315224093497743274e-01,1.239041362889663711e+00,8.248818732583078628e-01,-2.679645416438829475e-01
1.600000000000000089e+00,-1.028703311283776881e-16,-5.599999999999998312e-01,-1.409788696740970071e-01,1.245001279384809534e+00,8.083568670011102020e-01,-2.667891834675487628e-01
1.700000000000000178e+00,-1.092997268239012967e-16,-5.949999999999998623e-01,-1.505526015920465588e-01,1.246495979401972320e+00,7.860026142651863612e-01,-2.647744550921785622e-01
1.800000000000000044e+00,-1.157291225194249053e-16,-6.299999999999998934e-01,-1.602462331880973589e-01,1.249555566467241530e+00,7.678774779281782870e-01,-2.644736347632342111e-01
1.900000000000000133e+00,-1.221585182149485016e-16,-6.649999999999999245e-01,-1.700616533253375418e-01,1.245182796417637183e+00,7.443648433324290270e-01,-2.655407186540782449e-01
2.000000000000000000e+00,-1.285879139104720978e-16,-6.999999999999999556e-01,-1.800000000000001321e-01,-6.471417783431857584e-01,-1.249767396155088583e+00,-2.651546773736703222e-01
2.100000000000000089e+00,-1.350173096059956941e-16,-7.349999999999999867e-01,-1.900616533253375595e-01,-6.539709129231340290e-01,-1.261322211782172298e+00,-2.676968755527848742e-01
2.200000000000000178e+00,-1.414467053015192904e-16,-7.700000000000000178e-01,-2.002462331880973945e-01,-6.557649840019923460e-01,-1.267336171473733675e+00,-2.698174506982407017e-01
2.300000000000000266e+00,-1.478761009970428866e-16,-8.050000000000000488e-01,-2.105526015920466121e-01,-6.574108190508155536e-01,-1.281181308349435444e+00,-2.729477998682601769e-01
2.400000000000000355e+00,-1.543054966925664829e-16,-8.400000000000000799e-01,-2.209788696740970781e-01,-6.636799101718011684e-01,-1.295423771464513152e+00,-2.787272346164609282e-01
2.500000000000000000e+00,-1.607348923880900792e-16,-8.750000000000001110e-01,-2.315224093497744162e-01,-6.616338852763496980e-01,-1.307592830582766430e+00,-2.853886364621101568e-01
2.600000000000000089e+00,-1.671642880836136754e-16,-9.100000000000001421e-01,-2.421798695162328263e-01,-6.647409706882431157e-01,-1.321489816823697261e+00,-2.938630250088830609e-01
2.700000000000000178e+00,-1.735936837791372717e-16,-9.450000000000001732e-01,-2.529471967129183207e-01,-6.692272376921276633e-01,-1.322071171659767286e+00,-3.003207075946988103e-01
2.800000000000000266e+00,-1.800230794746608680e-16,-9.800000000000002043e-01,-2.638196601125012419e-01,-6.735696812826640345e-01,-1.332308145839211200e+00,-3.083200979923881313e-01
2.900000000000000355e+00,-1.864524751701844642e-16,-1.015000000000000124e+00,-2.747918806879995901e-01,-6.833383239622987659e-01,-1.337838922185659474e+00,-3.178067731868526868e-01
3.000000000000000000e+00,-1.928818708657080605e-16,-1.050000000000000044e+00,-2.858578643762692550e-01,-6.095097171085213095e-01,-1.398923968728887024e+00,-3.282457134197055426e-01
3.100000000000000089e+00,-1.993112665612316568e-16,-1.084999999999999964e+00,-2.970110390333965400e-01,-6.411021274475349196e-01,-1.385327982239929145e+00,-3.436021993098641314e-01
3.200000000000000178e+00,-2.057406622567552530e-16,-1.119999999999999885e+00,-3.082442949541507882e-01,-6.688252357909593160e-01,-1.372825594038332264e+00,-3.599402766259807707e-01
3.300000000000000266e+00,-2.121700579522788493e-16,-1.154999999999999805e+00,-3.195500287056812772e-01,-6.932023011839782978e-01,-1.356453180361798738e+00,-3.795459975819341913e-01
3.400000000000000355e+00,-2.185994536478024455e-16,-1.189999999999999725e+00,-3.309201900052093359e-01,-7.258801563279156932e-01,-1.334028281061192978e+00,-3.997818726533831080e-01
3.500000000000000000e+00,-2.250288493433260418e-16,-1.224999999999999645e+00,-3.423463313526984297e-01,-7.547442421495200726e-01,-1.319465897090654316e+00,-4.242328089781908229e-01
3.600000000000000089e+00,-2.314582450388496627e-16,-1.259999999999999565e+00,-3.538196601125013219e-01,-7.935426028466471271e-01,-1.301552014211190711e+00,-4.502786307949501743e-01
3.700000000000000178e+00,-2.378876407343732836e-16,-1.294999999999999485e+00,-3.653310927228821670e-01,-8.236797826144706125e-01,-1.284005678232896352e+00,-4.802924449633768633e-01
3.800000000000000266e+00,-2.443170364298969046e-16,-1.329999999999999405e+00,-3.768713106991956607e-01,-8.576119279892947533e-01,-1.260004498488292768e+00,-5.132868448836751529e-01
3.900000000000000355e+00,-2.507464321254205255e-16,-1.364999999999999325e+00,-3.884308180854433856e-01,-8.867062037955302234e-01,-1.233710455542737394e+00,-5.484020518511490971e-01
4.000000000000000000e+00,-2.571758278209441464e-16,-1.399999999999999245e+00,-4.000000000000002998e-01,-1.038550130615968792e+00,-1.631806863803784813e+00,-5.834784530112673284e-01
