时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),TRUKF估计位置X(m),TRUKF估计位置Y(m),TRUKF估计位置Z(m)
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.224089656843567075e+00,1.500552421493367983e-01,-1.083612748613907786e-02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.322253562126927129e+00,2.844234226355317752e-01,-3.536830771393717487e-03
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.311444027585494165e+00,4.042392028172988039e-01,-6.083598405555319319e-03
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.202179677218782494e+00,5.110552858846598712e-01,-4.379869001258662221e-03
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.003880341179011815e+00,6.065338761724774486e-01,6.751295544219982486e-03
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.726302552640201604e+00,6.917282367000169296e-01,1.280393981415958206e-02
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.395274968172056873e+00,7.678802158338970951e-01,2.469573004752993045e-02
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.998082094281540932e+00,8.348002360589292792e-01,2.324378737754377242e-02
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.689443095701868458e+00,1.028694365881134942e+00,3.339536259840938243e-02
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.303264003670024707e+00,1.202610525373281058e+00,3.762009075973674066e-02
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.744230106539919944e+00,1.248251553175398820e+00,4.261085006237477768e-02
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.169043656788037566e+00,1.311513112494054223e+00,4.534534853880804045e-02
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.523380366782673079e+00,1.368899699740872000e+00,5.166459086981841503e-02
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.860738278629844089e+00,1.431564491323429333e+00,5.787133283911452541e-02
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.014705835640252118e+01,1.476912094395632646e+00,5.187736173077575619e-02
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040389861494381663e+01,1.529737430240885931e+00,5.711905874313839837e-02
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.063417260363602246e+01,1.577708637454212637e+00,6.539077963242707903e-02
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.085945678149625238e+01,1.620374053269491021e+00,7.044764511573987920e-02
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.104471625739786056e+01,1.657838525994522083e+00,6.535983077766970017e-02
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.121155489188903864e+01,1.692515011119919865e+00,7.110298121652929015e-02
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.136119614802971434e+01,1.723478851373817733e+00,7.557488340100071422e-02
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.156069192424472014e+01,2.003533356189377113e+00,7.756090264917185617e-02
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.174232273333078247e+01,2.005220499964627923e+00,6.750265732693624954e-02
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.190385117704475526e+01,2.004441814693962876e+00,8.305743485962797934e-02
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.204989463410710471e+01,2.004955791345310878e+00,7.924974957082671356e-02
