Time(s),True Position X(m),True Position Y(m),True Position Z(m),TRUKF Estimated Position X(m),TRUKF Estimated Position Y(m),TRUKF Estimated Position Z(m)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-6.429395695523603968e-18,-3.499999999999999639e-02,-8.430818085443103627e-03,3.710863901662274455e-06,-2.872906544792310885e-08,-9.809461429958554746e-02
2.000000000000000111e-01,-1.285879139104720794e-17,-6.999999999999999278e-02,-1.687131069919538609e-02,8.534188881747936201e-06,3.710331877476191955e-06,-2.942829057834190909e-01
3.000000000000000444e-01,-1.928818708657081344e-17,-1.049999999999999822e-01,-2.533109272288189620e-02,1.196872170118770093e-05,7.842676479347945265e-06,-4.942829057112383961e-01
4.000000000000000222e-01,-2.571758278209441587e-17,-1.399999999999999856e-01,-3.381966011250105847e-02,1.297764085677099060e-05,1.187235120860926579e-05,-6.942829056680979161e-01
5.000000000000000000e-01,-3.214697847761801830e-17,-1.749999999999999889e-01,-4.234633135269821186e-02,1.032824721332097945e-05,1.598546522129428511e-05,-8.942829056082554073e-01
6.000000000000000888e-01,-3.857637417314162073e-17,-2.099999999999999922e-01,-5.092019000520907335e-02,8.554204854025735627e-06,2.096085885595332527e-05,-1.094282905538501049e+00
7.000000000000000666e-01,-4.500576986866522315e-17,-2.449999999999999956e-01,-5.955002870568103235e-02,7.321041515254276550e-06,2.730161646256224972e-05,-1.294282905434186226e+00
8.000000000000000444e-01,-5.143516556418882558e-17,-2.799999999999999711e-01,-6.824429495415054725e-02,5.228864115022390028e-06,3.386113659006679199e-05,-1.494282905315674981e+00
9.000000000000000222e-01,-5.786456125971242801e-17,-3.149999999999999467e-01,-7.701103903339634460e-02,5.064070490530704926e-06,4.090653249292415544e-05,-1.694282905191513144e+00
1.000000000000000000e+00,-6.429395695523603660e-17,-3.499999999999999223e-01,-8.585786437626907741e-02,8.425660236000294401e-02,5.146396779242928821e-02,-5.243693536600101818e-02
1.100000000000000089e+00,-7.072335265075964519e-17,-3.849999999999998979e-01,-9.479188068799941636e-02,8.622125013210739375e-02,4.802476786400396158e-02,-8.049453549574055178e-02
1.200000000000000178e+00,-7.715274834628325378e-17,-4.199999999999998734e-01,-1.038196601125010998e-01,8.753835824609926264e-02,4.572429193350288634e-02,-1.004927786777576326e-01
1.300000000000000044e+00,-8.358214404180686237e-17,-4.549999999999998490e-01,-1.129471967129182242e-01,8.841987836141390611e-02,4.418643795073536051e-02,-1.204919931441845449e-01
1.400000000000000133e+00,-9.001153973733047096e-17,-4.899999999999998246e-01,-1.221798695162327197e-01,8.900852586689450563e-02,4.316092734604551340e-02,-1.404916435966584443e-01
1.500000000000000000e+00,-9.644093543285407955e-17,-5.249999999999998002e-01,-1.315224093497743274e-01,8.940375150604937260e-02,4.247796773439030393e-02,-1.604914879367684566e-01
1.600000000000000089e+00,-1.028703311283776881e-16,-5.599999999999998312e-01,-1.409788696740970071e-01,8.967151299514973528e-02,4.202652380658436493e-02,-1.804914190621911274e-01
1.700000000000000178e+00,-1.092997268239012967e-16,-5.949999999999998623e-01,-1.505526015920465588e-01,8.985197225777849517e-02,4.172773377517308147e-02,-2.004913886019108471e-01
