时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),UKF估计位置X(m),UKF估计位置Y(m),UKF估计位置Z(m)
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.075284869539073960e-06,1.269478877230677196e-05,-9.761535116930997180e-02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.047740342715709458e-06,3.798746463353465060e-05,-2.928459346968633747e-01
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.727767161079329951e-06,7.549707180022098693e-05,-5.856918682245837449e-01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.991071185865262961e-06,1.256860371805465265e-04,-9.761530991239819599e-01
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.383664039067511404e-05,1.883974573513386369e-04,-1.464229431037204598e+00
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.008646328646234520e-05,2.632701048009531992e-04,-2.049921188444807640e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.945804323086398564e-05,3.506171085804990917e-04,-2.733228118611183532e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.234573208055161797e-05,4.503301136048231193e-04,-3.514150410646241340e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.818680240945127684e-05,5.624435983749385016e-04,-4.392687786325002008e+00
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378856483186153525e+01,2.769950077460316962e+00,-1.099719880927257573e-02
