Time(s),True Position X(m),True Position Y(m),True Position Z(m),UKF Estimated Position X(m),UKF Estimated Position Y(m),UKF Estimated Position Z(m)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-6.429395695523603968e-18,-3.499999999999999639e-02,-8.430818085443103627e-03,-1.229671177666850623e-06,7.198886589405532447e-07,-9.809780223057829041e-02
2.000000000000000111e-01,-1.285879139104720794e-17,-6.999999999999999278e-02,-1.687131069919538609e-02,-3.330890371015279269e-06,4.549563140983196185e-06,-2.942922889193682057e-01
3.000000000000000444e-01,-1.928818708657081344e-17,-1.049999999999999822e-01,-2.533109272288189620e-02,-3.716483203834759509e-06,1.519915363663711197e-05,-5.885806363224981297e-01
4.000000000000000222e-01,-2.571758278209441587e-17,-1.399999999999999856e-01,-3.381966011250105847e-02,-1.552296101357427245e-06,2.944839220686908024e-05,-9.809596504122359839e-01
5.000000000000000000e-01,-3.214697847761801830e-17,-1.749999999999999889e-01,-4.234633135269821186e-02,5.451288525249050975e-06,4.860044742814421947e-05,-1.471427803745445573e+00
6.000000000000000888e-01,-3.857637417314162073e-17,-2.099999999999999922e-01,-5.092019000520907335e-02,1.709831974609491481e-05,7.538999381381762330e-05,-2.059984225745986386e+00
7.000000000000000666e-01,-4.500576986866522315e-17,-2.449999999999999956e-01,-5.955002870568103235e-02,3.147902393359344395e-05,1.107225489193115905e-04,-2.746629035501879201e+00
8.000000000000000444e-01,-5.143516556418882558e-17,-2.799999999999999711e-01,-6.824429495415054725e-02,4.739044049899881410e-05,1.545456722380307221e-04,-3.531360286139232585e+00
9.000000000000000222e-01,-5.786456125971242801e-17,-3.149999999999999467e-01,-7.701103903339634460e-02,6.654431052544588403e-05,2.006792782108957757e-04,-4.414177428853923502e+00
1.000000000000000000e+00,-6.429395695523603660e-17,-3.499999999999999223e-01,-8.585786437626907741e-02,-2.679209224103095699e-01,-6.000501948425586152e-01,-4.205369334642203999e-02
1.100000000000000089e+00,-7.072335265075964519e-17,-3.849999999999998979e-01,-9.479188068799941636e-02,-2.637786823379183465e-01,-6.196060567180925460e-01,-1.466064877540277367e-01
1.200000000000000178e+00,-7.715274834628325378e-17,-4.199999999999998734e-01,-1.038196601125010998e-01,-2.596093586648022811e-01,-6.392703487061628387e-01,-3.482897760602023940e-01
1.300000000000000044e+00,-8.358214404180686237e-17,-4.549999999999998490e-01,-1.129471967129182242e-01,-2.554113418329857499e-01,-6.590404855263805040e-01,-6.471003777966446435e-01
1.400000000000000133e+00,-9.001153973733047096e-17,-4.899999999999998246e-01,-1.221798695162327197e-01,-2.511859875215857185e-01,-6.789169121685247887e-01,-1.043039061153269387e+00
1.500000000000000000e+00,-9.644093543285407955e-17,-5.249999999999998002e-01,-1.315224093497743274e-01,-2.469316139948851685e-01,-6.989036273246829190e-01,-1.536103341773185527e+00
1.600000000000000089e+00,-1.028703311283776881e-16,-5.599999999999998312e-01,-1.409788696740970071e-01,-2.426471012475491795e-01,-7.189990009078632838e-01,-2.126297284160154177e+00
1.700000000000000178e+00,-1.092997268239012967e-16,-5.949999999999998623e-01,-1.505526015920465588e-01,-2.383271921861299658e-01,-7.392052627546270571e-01,-2.813619745595678623e+00
1.800000000000000044e+00,-1.157291225194249053e-16,-6.299999999999998934e-01,-1.602462331880973589e-01,-2.339732344365825778e-01,-7.595208521910770116e-01,-3.598073575285830827e+00
1.900000000000000133e+00,-1.221585182149485016e-16,-6.649999999999999245e-01,-1.700616533253375418e-01,-2.295875806684906095e-01,-7.799455107550761213e-01,-4.479660278318707611e+00
2.000000000000000000e+00,-1.285879139104720978e-16,-6.999999999999999556e-01,-1.800000000000001321e-01,-1.725229159403011581e+00,-2.350703959304117685e+00,-1.901446294292822303e-01
2.100000000000000089e+00,-1.350173096059956941e-16,-7.349999999999999867e-01,-1.900616533253375595e-01,-1.725959683460008165e+00,-2.369417618097228839e+00,-5.719777659030493844e-01
2.200000000000000178e+00,-1.414467053015192904e-16,-7.700000000000000178e-01,-2.002462331880973945e-01,-1.728055602551370917e+00,-2.384107646785296630e+00,-1.020923718234937105e+00
2.300000000000000266e+00,-1.478761009970428866e-16,-8.050000000000000488e-01,-2.105526015920466121e-01,-1.731516689072122972e+00,-2.394776422774972602e+00,-1.536984189685005830e+00
2.400000000000000355e+00,-1.543054966925664829e-16,-8.400000000000000799e-01,-2.209788696740970781e-01,-1.736345288414739230e+00,-2.401419628051426614e+00,-2.120160761963123086e+00
2.500000000000000000e+00,-1.607348923880900792e-16,-8.750000000000001110e-01,-2.315224093497744162e-01,-1.742544345369219982e+00,-2.404033960640536094e+00,-2.770455888542722178e+00
2.600000000000000089e+00,-1.671642880836136754e-16,-9.100000000000001421e-01,-2.421798695162328263e-01,-1.750117381258013971e+00,-2.402617244704307709e+00,-3.487875755280722245e+00
2.700000000000000178e+00,-1.735936837791372717e-16,-9.450000000000001732e-01,-2.529471967129183207e-01,-1.759061911389417254e+00,-2.397166459904676472e+00,-4.272421497764812059e+00
2.800000000000000266e+00,-1.800230794746608680e-16,-9.800000000000002043e-01,-2.638196601125012419e-01,-1.769377941895802664e+00,-2.387678261235913979e+00,-5.124092765748116562e+00
2.900000000000000355e+00,-1.864524751701844642e-16,-1.015000000000000124e+00,-2.747918806879995901e-01,-1.781066864661390525e+00,-2.374147159254893502e+00,-6.042889513105475174e+00
3.000000000000000000e+00,-1.928818708657080605e-16,-1.050000000000000044e+00,-2.858578643762692550e-01,-4.463078217792222357e-01,-1.439102376431287134e+00,-4.889309513617019487e-01
3.100000000000000089e+00,-1.993112665612316568e-16,-1.084999999999999964e+00,-2.970110390333965400e-01,-4.097525628347908899e-01,-1.519515414437330847e+00,-8.294771846878714605e-01
